English,Mundari
But it is not just radio through which people are getting connected to the event.,मेन्दो नेआ रेडियो बारि दो का तनाः ओकोअ होराते चि होड़ोको ने कार्यक्रम रेको जुड़ावेन तना।
"Once in a village, he was taken to subdue a demon and tell him that the witchcraft is corrupted.","मिसा मिअद् हतुते बोंगा काबु मेनते ओड़ोः नजोम बो, नडो मेचतेको इदिलिःअ।"
The hill turned red with blood.,बुरु मयोम ते अरअः उतर जना।
"When the Pakistani invaders launched a surprise attack in 1947, it was the Air Force that ensured that Indian troops and equipment reached the battlefield on time to protect Srinagar from the invaders.",1947 रे ओको इमतङ पाकिस्तान रे हमलावर को मियद् अप्रत्यासित लड़ाइ को एटेः तअः इमतङ ने वायुसेना गे श्रीनगर के हमलावर कोए ते बंचव रअःए सुनिसचित केदा चि भारतीय सैनिक अर उपकरण लड़ाइ रअः मैदान जकेद् समय रे सेटेर लेना। वायुसेना
"Saving every drop of water, preventing any kind of wastage of water, should become a natural part of our lifestyle. It should become a tradition in our families, which makes every member proud.","दअ: रआ: मिमियद् टिपा: के बनचाव, दअ: रआ ज़ां लेकन बर्वादी के रोकव या नेआ अबुआ जीवन शैली रआ मियद रबल हिस्सा बईन ताइकेना।अबुआ परिवार रआ नेकन परंपरा बईयो लगतिङा, ओकोआ तेचि हर मियद् सदस्य को गर्व होबाओ:अ ।"
Durga - You are right.,दुरगा - हेनेः दोम टउकातदा।
"For 11 months, she trained hard and gave her life to fulfill her husband's dreams.",गेल मिद चंडुः जकेद् इसु कुरूमुटु केअते प्रशिक्षण अगु केदअ ओड़ो अपन किसानअः कुमु को पुराव मेनते अःए अपन जिदन ओम गिड़ि रेकिन अचुन जना।
Distributing packets of ओ.आर.एस.,ओ. आर. एस. राः पैकेटको हनाटिड. जादा।
"Like grinding gram in a janta,",जनतिरे कोदे हो रिदेलेका;
"After all this work is done, they go to fetch the bride.",नेअ कमि को चबा जन चि कोनेअ आगु को सेनोआ ।
"Young boys and girls are hankering after clothes, parents are selling Sarguja and buying clothes.",दंगड़ा दंगड़िको लिजअःको हटितना; एंगा अपुकोदो सुरगुनजा अकिरिड.केते लिजअःको किरिड.तना।
"Despite this, you were finally caught.","इमिनरेत्र्प्रो, टुनडुरेदोम सब्जना।"
"In March 2021, WHO announced that a Global Centre for Traditional Medicine would be established in India.",मार्च 2021 रे WHO नेआए रोजोटो लेदा चि भारत रेअ: जाओ आते मेनअः पुरना रे'द रानू नातेन मिअद Global Centre तिगु रिकाओ का ।
"One feels the pain when one talks about the environment, but at the same time he also tells the experiments he has done - the experiments he has seen and the ideas he has in his mind.","जाँए पर्यावरण रेअः उकता तना दो इनिअः दुकु अटकारो तना, मेनदो सोंगे-सोंगे गे इनिः, अए जे प्रयोग कदाए एनाओः उदुबतना- जे प्रयोग इनिः लेल तना एनाओः उदुबतना ओड़ोः जे ओममनाको इनिअः रे मेनअः एना रओः चपा बइतना।"
This motion is also called oscillatory motion.,ने गति के दोलन गतियो को कजिआ।
"Yes, it would be better if you come soon.",हे सेकेड़ागे होनाडेः हिजुः कोःरे।
"And that is why I say - let us aim to innovate and when I say let us aim to innovate, my AIM stands for'Atal Innovation Mission '.","ओड़ोः एना मेनते गे अइङ कजिअः -हिजुः पे आबु जांन नवा रिकाए रअः मकसद् बु जोगावएअः ओड़ोः ओको इमतङ अइङ हिजुः पे आबु जांन नवा रिकाए रअः मकसद् बु जोगावएअः कजिअः, दो अइअः AIM रअः मोतलब तनअः ‘अटल इनोवेशन मिशन’।"
"He said the same to her, and Madhura said, ""You go to the ruler; we are afraid of him.""","इनिः तअःरेओ नेकागेए कजि केदा, अद् मतुरा मेतअःइअ, ""हकिम तअःते सेनोःमे; इनिःदो सोबेन- कोबु बोरोअइतना ।"
The 1870s and 1880s saw a deepening of discontent with British rule.,1870 आद् 1880 रेअः दशक रे विलायति रइज रेअः का सुकु ओड़ो पुरअःगे इकिर जना।
I'm just finishing it.,आञ नाआः गे एना छाबा लेआञ।
"So just as the five years 1942 to 1947 became decisive for the country's independence, these five years 2017 to 2022 can and must become decisive for India's future.","तोबे चिलका 1942 ते 1947 मोड़़े सिरमा दिसुम के रानाड़ा मेनते कजि गोटाए को बइ जना, नेअः मोड़ो सिरमा 2017 ते 2022 रअः, भारत रेअः हिजु तन बेड़ा मेनते ओगे कजि गोटाए को बइ दाड़िओअः ओड़ो बइ तेआ मेनअः।"
Men and women are not equal.,हेरेल कोअः ओड़ोः एरा कोअः हैसियत मिद् लेका का होबाओःअ।
The usurious moneylenders also lent money to the tribals but the interest was very high.,"सूद् जोमतन महाजनकोओ आदिवासीको के रिंड़िदो को ओमाकोतन तईकेना, मेनदो एना रेअः सूद् इसु पुरअः तइनतन तईकेना।"
"Balaga - ""I have learnt all these things by sitting and resting with old people.","बलगा, ‘‘हड़म होड़ोको लोः दुब्जरुते ने सोबेन कजि कोइङ इतुकेदा।"
It is also an inspiration for all of us.,नेआ अबु सोबेन को मेनते ओ प्रेरण तनअः।
All the plates were invoiced and we got the wages for scraping the plates left after cancellation.,सोबेन पालि चलानजना; अद् रदिकेद सरेःजन पालिको रअः हद् नलालेनमकेदा।
This will defeat the opponents who are active.,ओकोआ ते कामितान मुदाइको हारातिङओअ।
"And they left the village of Daudih, dragging the goat and the sheep, and flogging them with the cane stick, and were lost in the darkness of the night.",इनाते मेरोम आ'र मिण्डि ओर जाद कोलोः डाउडी हातुआते बेएते डाण्डाः फेरओआड़ां जाद लोः उड़ुङ जाना आ'र लाता लेकान नुबाः रेको आद जाना।
"Today, many new farmers have joined the Pradhan Mantri Fasal Bima Yojana in such a short time and this number has reached about 45 million in the future.",नआ प्रधानमंत्री फसल बीमा योजना रे हुडिंङ सोमय रेगे मोद् पूरा:किसान को जुटिदेन जाना ओड़ो नेआ आयर रे करीब पौना तुरिआ करोड़ो तेबगोआ।
That is why the place is known as Bal Sukane Tand.,एना मेन्ते एन टॉव उब तासे पीड़ी गे सकिअ कना।
The landlords are upset with the Oraons for refusing to work.,उरङ को कमि काकोअः जन चि जमींदार को अटकर उरुम केदा चि हातु होड़ो को बखेड़ा को एटेः केदा।
Have you ever wondered how we see different objects?,चनअः चिउलओ अपे पे उडुः कदा चि अबु बिनगा-बिनगा जिनिस कोके चिल्का बु नेल दड़िआ ?
The day is also dedicated to the memories of the brave tribal freedom fighters so that future generations may know about their sacrifices for the sake of the country.,"नेआ हुलाङ बहादुर जनजातीय स्वतंत्रता सेनानिकोआ स्मृतिकोके होबु समर्पित मेना, चिआचि हिजु तन पिढ़िको दिसुम रेआ मेनते इनकुआ बलिदान रेआ बारे रे सारि धाड़िकको।"
The grammar of the Munda language is very important.,मुण्डा जगर रअ बेयाकरण इसु मरङ मेनअं।
He also proudly wrote of good experiences.,इसु जी-कुडाम मनारंङ लेकन सुगाड़ा इनितुकोको ओल केदा।
"After the three women arrived, they greeted each other with a donka.","एन अपि होड़ोको तेबअःलेनचि, डोंका लोःको जोपोअरजना।"
This will give the time to turn the omen correctly.,एनते एरे लटुम रअ: समए टउकागे नमोअ।
82. The bowl is placed upside down in the middle of a dense forest - tiger's paws.,82. तला टोनंगरे डुभाको हरूबाकदा। - कुला मंडा
"During one of his melancholy days, he also visited largely Islamic countries, including Saudi Arabia, Iraq, and Afghanistan.","अकिनअः मियद गोसो दिपिला, अकिन इसु पुरअः मुसला कोअः दिशुम कोतेओ किन सेन केना, एना कोरे Saudi Arab, Iraq ओड़ोः Afghanistan जमा कना।"
The meat was being cut after the sacrifice was made.,"बोगा किः चि जिलु गेद् तन को तैकेना,"
She asks the dogs.,सेता किङ कुलीः जअः किञ-
"While the other children were listening to the teacher, Tagore's mind wandered elsewhere.","जेते एटअः होनको इतुनतनि के को अयुमतन तईकेना, टैगोरअः मोन जां जेता तअःरे होनोरबड़ा तन तईकेना।"
"In fact, the revenue that the company had fixed was so high that the landlords were having a hard time paying it.","असल रे कम्पनि ओकोअ मालएः करार लअः, एना इमनुड. पुरअः तईकेना चि एनाके हल रूअड़ा मेनते जमीन्दारको पुरअःगेको बलय चबाओतन तईकेना।"
"Regarding translation, some of the earlier scholars insisted that the verse should be translated into the metre itself, that too in English metre.","उल्था रअ बिसए रे तरा सिदारेन बिदुवानकोवआ कजि तइकेन चि छन्दि रअ उल्था छन्दि रेगे तइन लगातिङ तना, एनाओंगे अंग्रेजी रअ छन्दि रे।"
"Thus, we can say that the books were published early due to the will power of the educated Munda people in that period.",जमाते एन दिपलि पड़व तन मुण्डा होन कोआ चुहुल ते पुथि सेकेड़ा बाइ जना।
"Dukura said - Your company's name is like laughing, Birja Beer Company or Hatu Beer Company?",दुकुरा मेनकेदा - अमअः कुमपनि रअः नुतुम लनदाओः लेकागेअ; बिरजा बिअर कुमपनि चि हतु बिअर कुमपनि ?
Ne lekate tuyu en hodo kula mocha te: banchav li: a.,इस तरह से सियार उस आदमी को बाघ के मुँह में जाने से बचा लिया।
"Uduga - ""Yes, G. calls me uncle.""","तिरला, ‘‘अतेअ, ककिअइङअए चि ?’’"
"When the sun was a little down, dip your fingers in the oil kept in the vartan, massage your face, and say,'Come on,'and come out holding your hands.","सिंगि गनडेनोः जनते, सुनुमको चबुःकेदा, अद् दोलबु मेनजना, अद् सोटाको सद्केद्तेको उड़ुङजना ।"
Our fight against black money will continue.,कालधन रेआ बिरोद रे गोपोए जोरा कनगे ताइना।
Ah! Ramayana! Wah Ramayana! Ah! India! Mahabharata! Ah! Meghdoot! Wah! Meghdoot! Ah!,आह ! रामायाण! वाह रामायण ! अहा! भारत! महाभारत ! आह ! मेघदूत ! वाह ! मेघदूत ! आह !
"General Thimayya, who also served as the Chief of the Indian Army, led the UN Peacekeeping Force in Cyprus and gave his all for peacekeeping operations.","जनरल थिमैय्या, ओकोन भारतीय सिपई कोवा प्रमुख तइकेना, ने Cyprus रे UN Peacekeeping force को Lead केद को तइकेना ओड़ोः शान्ति कमि को नगेनते अपनअः सर्वस्व ओम केद तइकेना।"
"And so you can find Run for Unity around you, in any city you live in.","ओड़ोः आपे जेतान शोहोर रेओ पे ताइन तना, एनतअ् आपेयआ जपा-पआ कोरे run for Unity रअः बारे कुली जगर दाड़ियआपे।"
"The small roadside shopkeeper you read about before,","सङड़क जापाराः दोकानराः हुड़िङबेपारि, एनबारेते सिदारेपे पढ़ाओलः।"
I can't do that much.,का कइङ दाड़िआः आमिनाङ हाड़ागुन दो।
Do not be suspicious of the old man's leadership of the household.,बुड़िअ - मतुराअः ओड़अः रअः दुतम मेनते अलोम डरेन मरेनेना।
"After eating it, the children were saying to the child, ""Why, why!","एनाको जोमकेद्ते, एन होन गोमकेए मेतअइतना, ‘‘चि, पलना !"
"Along with what we saw in Buruma, another one happened here.",बुरुमारेबु लेलकेद् एरे लो: मोद्जना ।
This is the strength of our scientists.,नेअ पेड़ेः दो अबुअः वैज्ञानिक कोअःगे तनअः।
History in Mundari folk songs.,मुण्डारी लोकगीत रे एतेहइसि (इतिहास)
This is a congratulation from us to you.,नेआ आमके बधाई मेताम तनाले आलेआ सह ते।
Do not go under tall and single large trees when there is lightning and thunder.,"बोजोर उइयु: आद् लारि गड़ागुडू रेदो, चेतन ओड़ो: मिअद् सलंगि दरू सुबा रे का तइन लगातिङअ।"
"110. After humya, after peeling, after burning, one cries - dholak.","110. मअःतइ, पोटअःतइ, तोपातइ निःयाएः रअःया। - ढुलकि"
The first rain was woven into the rainwater.,सिदा रे उदुब लेका गे उयुः दअ जरगि दअ हेर चलु केदा।
I want to go to the beach.,कहके विद्वानों ने कहा है।
He was farming there when a child was born to the old man.,एन अटा-मटा बिर को तला रेगे किन चस तनतइ चेना। एन किंगा मोयोद् कोडा होन होबा जना।
"After returning from prison in 1897, Birsa started to move from village to village, gathering support.",1897 रे जेल ते रूअड़ाजन तयोमते बिरसा समर्थन जुटव केअते हतु-हतु होनोरबड़ा जना।
"Then Okora is telling the old women, ""I have finished. Let's compare and tell you, is it better to live in a forest or a forest?""","एनते ओकोड़ा बुड़िअ मेतअकोतना - जगरदोइङ टुनडुतअः। मर, नाअःदेा जोकाएपे, बिर दिसुमरे तइनतनको सुकुतना चि पिड़ि दिसुमरे तइनतनको सुकुतना?"
How many farmers are there in the village?,हतुरे चिमिनं किसान मेनअः कोआ?
"Balaga - ""You tantri people are afraid of the sun, afraid of the rain and afraid of the cold, is it very sad or not?""","बलगा, ’’अपे पेंड़ांएंको जेटेओपे बोरोअः, जरगिओपे बोरोअः, ओड़ोः रबङओपे बोरोअः; एना मरङ दुकु चि का?’’"
The children were dropped from the back of the jumbo.,होनको जंबोआः देआ ते हाड़ागुनलेना।
"Now, whether I say it or not, you know everything. """,नामःअइङ कजीरेओ कारेओ सोबेनअःदोम मुनडिकेदा।”
"My mother didn't come, did she?",एंगाञ दोगा काएः हिजुः जाना?
"Well, then, is it not well cultivated? If so, what?",नेआरे तोबे दो बुगिन चासा क होबाओ तना? जादि होबाओ तना दो चिनअः चिनअः ?
Enemies also get hugged.,मुदाइकिनो जोपोआराकिन।
The incident has sparked outrage in the village.,नेआ होबालेनाः ते हातु रे सोबेनको दुकुजाना।
"Just a few days ago, Nano-urea was sprayed in fields through drones in Bhavnagar, Gujarat. Drones are also playing their role in the Covid vaccine campaign.",चिलकाचि हुड़िङ- दिन सिदा गुजरात राइज रेअ: भावनगर रे Drone रेअ जरीआ ते खेती बाड़ी कोरे नैनो यूरिया रेअ: पेचेका हेरोः ने आत्ति रिकाकाना । Covid vaccine अभियान रेओ Drones रेअ:ते कमिः रिकाएताना ।
So far we have talked about the quantitative aspect of water scarcity.,नअः जकेद् अबु दअः दुर्लभता रअः मात्रात्मक पहलू रअः बु जगर कदा।
Then he started narrating his story.,"मेद्सोबोः, ‘‘ए’ना, मर; मिद् जुड़िङ का’निअपेअ।’’"
It was well-cut into small pieces.,हुपुड़ि हुपुड़ि गन्दुइ तेरे माजा गुलि तन केना।
"Rasual - Don't know, can't say about what caused such a name.",रसोअल- इदु‘ड़ो चेनअः मेनते एनका नुतुमजना का कजि दड़िओअ।
"Food, cooking utensils, clothes, etc. were arranged along with weapons like arrow-bow, sword, spear, catapult, etc.","आआः-सार, तरउड़ि, बरछा, गुलेल एमन हतेयार लोः जोम नूएआ सामान को, मांडितेआ वर्तन को ओडोः लिजाः किचिर एमन को पुराअः लेका को जोगाड़ अकाद ताइकेना।"
"With the same spirit, all of us, follow our assigned duties with full devotion and the'Amrit Mahotsav'of freedom means that we make new resolutions.","एना उड़ुः लोः गे, अबु सोबेन, अपनअः जनव रअः कर्तव्य को मजालेका बु मनातिङा ओड़ोः आजादी रअः ‘अमृत महोत्सव’ रअः मतलब गे नेया तना चि अबु नवा संकल्प इदिया।"
"Manibeda - He is the father, named Sundura; the old woman of that village is brought from the village of Kudapurti.","मनिबेड़ा - इनिःदो, अबा, सुनदुरा दङ नुतुमतिअ । एन ओड़अः-रेन बुड़िअदो कुड़ापुरति हतुएतेए अउअकना ।"
You have chosen the same clothes.,किचिरि को दाङ एनकानाः गेबेन सालाकादा।
"It is true that we have not done any big work of governance, but we know how the welfare of our doorsteps and villages will be done.","नेअः ठाउका गे मापाराङ दिसुम चालाओ रेआः कामि दो जेता इमताङ काले कामिआ कादा, मेनदो ओड़ाः दुआर आ'र हातु-टोला चिलकाते बुगिनोःआ मेनेआः दोले इतुआनगेआ।"
Everyone knows that all belong to the same land of India.,सोबेन को इतुअनाचि सोबेन मियद् भारत दिसुम रेन कोगे तान बु ।
"Leave it, I won't sell it.",ओचा नेआ दो काञ आकिरिङेआ।
"Just came to my heart and I had said that by next 15th August, we will build separate toilets for boys and girls in our schools and later when we started the work, Team India understood its responsibility, it was noticed that there were 262,000 schools in this country, in which more than 4.25 lakh toilets were to be built.","बस आञअः सुरुद रे हिजु जना ओड़ोः आञ कजि केदा चि हिजु 15 अगस्त जकेद् आबुअ इतुसइ रे आबुअः इसकुल रे कोड़ाको ओड़ोः कुड़िको मेनते एटअः रचा ओड़ाः बइ तअः ओड़ोः तयोमते ओको इमतङ आबु कमि एटेः केदा, भारत रेन इनुङ गोट नेअः अएआ जिमा रे बुझाव जना, धेयान रे हिजुआ चि नेअः दिसुम रे 2 लाख 62 हजार इसकुल नेलेका तइन केना, ओकोनअःरे सवा उपु लाख ते थिमबा रचा ओड़ाः बबइ तइन केना।"
"The peon is not far away, but about four kos.",चपरसि-पुरअः दो का संगिना; मोंड़ें गउदिलेका होबओअ ।
The book contains 7 stories.,पुथि रे एआ कानि मेना।
"After reaching home, the old woman was grinding turmeric and the old man found the leaves and spread them on the ground and wanted to hit the leaves with the stick to cut them, then the old man again said - ""Dadaji, cut me gently.""","ओड़अः तेबअःजनते, बुड़िअदो ससङकोए रिद्तना, अद् हड़मदो वंइंटि नमकेद्ते सकमकोए अटेद्केदा, अद् हद् मेनते बंइंटिए एतेल जदा दो ओड़ोंःगे लिटा कोड़ा मेनजदा, ‘‘मंड़िंते, अजा हदिङमे।’’"
"Mother said, ""See, Sumi's hair is black, curly and thick just like your hair.""","एंगाते कजि केदा सीनी लेल लेम, सुमीअ: ऊब दो अमअ: ऊब लेकागे हेनदे, रिटुपिटु ओड़ो इबिल गेआ।"
"On what day will you entrust the dog to us? """,सेता ओको हुलङएम जिमा’लिङआ ?
Jaipal Singh then moved from Patna to Ranchi.,एन तायोमते जयपाल सिंह पटनाआते राँची हिजूः जाना।
"Bandua - If they are not giving up worship, how did they convert to the religion?","बनडुअ - बोंगा बुरू काको बगेजद्दो, इनकु चिलकाते धरमरेको बद्लनजना ?"
"There, seeing that no one is inside the house, he vented his anger on the hanging cat and picked it up, threw it out and then ran after the girl, finding her runaway.",लेल लेदाएः दो जेताए बङकोवा। नअःदो पुसीगेः कदारवाई तन तइ केना।कजि केदःए चि ने पुसीगे होसोड़ोवा कईंङ मेन्ते खूबे रचअः बड़ा किःया।
The resolution did not mention partition or Pakistan.,ने प्रस्ताव रें हनाटिड. चा पाकिस्तान रअः जिक्र का तईकेना।
The Eastern Ghats stretch from the Mahanadi valley to the Nilgiris in the south.,सिंगि तुरोः घाट रेअः पिनतराःकन महानदी घटिआते कटाः जमबाड़ा रेअः नीलगिरि सिंगि तुरोः घाट रअः पनासाराव को बनोवाः।
"Matura is telling me, ""You two, we will live separately in the afterlife from our grandchildren and sons, so you should also adopt our Christian faith, you two are still on the path of the world.""","दुरगा-मतुरा मेतअइङतना, ‘‘अबेनदो अले, जइको ओड़ोः होनको, जुदा जुदागे बितरपुररेबु तइनका मेन लेकागेबेन किरतान रिकातद्लेअ; अबेन नाअः जकेद् संवंसार होरारेबेनगेअ।"
The dogs entered the house and tore apart all the tigers.,तेबः केद् लोः गे सोबेन सेता कोते एन कुला को को कुंड़ु सू बटी केद् कोआ।
"A few days later, some sepoys stationed in Meerut refused to conduct military exercises with the new cartridges.",हुड़िड. दिन तयोमते मेरठ रे तईकेन हुड़िड. लेका पलटनको नवा करतुसको लोःते लड़ई इतुन ते ककोअ जना।
"In this, writing of Munda language was started.",मुंडा जगर रेआ ओनोल एटेः जना।
His only wish was that the British government should escape by any means.,आएआः मियादगे सानाङ ताइकेना चि ब्रिटिश सरकार जेता लेकाते हर गिडिओ काए।
"After sleeping for some time, pluck the plough again in the morning.",हुड़िङ खोओन गितिः कोः चि सेताः दो ओड़ोः सिउः चालुः।
"Raja Shambhunath Singh of Hazaribagh and Jagatpal Singh, the zamindar of Pithoria, were traitors and devious.",मेन्दो हजारीबाग रेन राजा शंभूनाथ सिंह ओड़ोः पिठोरिया रेन जमींदार जगतपाल सिंह पुरअः गे गद्दार ओड़ोः धूर्त होड़ो किन तइकेना।
"Jagua - They have ordered me to pay wages for the head of the goat, that is what I came to talk about.",जगुअ - मेरोम बो’; नलाको अचुजअःइञअ; एना जगर मेनतेङ हिजुः-लेना।
The day of the domestic worker starts at five in the morning and goes on till late at night.,ओड़अः रे कमि तन कोअः सिंगि सेतअः मोड़े बजे आते एटेः जनते इसु निदा गेल बर बजे जकेद् चलव तना।
Jule: San birate le jada.,जलावन की लकड़ी जंगल से लाते हैं।
"Rupapati - ""I have a lot of money, come, say, you will get one hundred rupees right now.""","रूपापुटि “अइड.अः इसु टका मेनअः मर कजीमे, नाअःगे मोद सए टकाम नमेअ।”"
The otter then looks up and looks around and they were very happy.,"एनते रसोअल कुकुरु बितररेए ककलाजद, ‘‘मर, नाअः दोइङ हिजुअकना; अमअः दंडें़ अमअः दका कूब्गेङ सुकुअतना।’’"
Do you believe in it or not?,सिड.बोगा मेनत्र्प्रःइत्र्प्र मेनतेका बिसुत्र्प्रसतना चि काकोबिसुत्र्प्रासतना?
"Recently, our Ministry of Water and Sanitation, which is the Ministry of Drinking Water and Sanitation of the Government of India.",सेनोः जन हुलङ कोरे दअः ओड़ोः स्वच्छता रअः ओकोअ अबुअः भारत सरकारअः मंत्रालय तनअः ‘ पेयजल ओड़ोः स्वच्छता मंत्रालय ’।
Revered Jagdish Trigunayat compiled folk tales and folk songs and published them under the name Bansuri Bajahi and Munda Lok Katha.,मइनन जगदीश त्रिगुणायत लोककथा ओड़ोः लोकगीत को जमा केआते बांसुरी बज रही ओड़ोः मुंडा लोक कथा लुतुम ते चपा तदा।
"On 14 April 1817, Buxi Jagabandhu captured Puri, leading 5 to 10 thousand Paiks and Kandh tribe warriors and proclaimed Mukanda Deva (II) as king despite their reluctance.","14 अपै्रल 1817 रेअः बक्सी जगबन्धु, 5 ते 10 हजार पाइकको आद् कंध जनजातिकोरेन लड़ाकाकोअः अगुआ केअते पुरी के अकोआ दबि रेको अउ केदा आद् मुकुंद देव (एटअःनि) इनि कःए सनातिड. तन रेओ राजा को एलान किःअ।"
We experience this in our personal lives as well and one such example has been widely shared by the people of Tamil Nadu.,ने काजि के अबु अपन निजा जिनिद रे ओ अनुभव दाड़िआबु ओड़ोः नेका गि मियद उदाहरण तमिलनाडु रेन होड़ो को मरङ स्तर ते प्रस्तुत कदाको।
Women in different parts of the world formed their own organizations and agitated for equal rights.,दुनिया रेअः बिनगा-बिनगा हिस्सा रे एराको अपन संगठन बइ केदा ओड़ोः बराबरि रेअः अधिकार नमोः नङ आंदोलन केदा।
Growing up as a male in Madhya Pradesh in the 1960s.,1960 राः दशकरे मध्यप्रदेशरे कोडाराः उइकाते मरानाङ
Have you seen each other with Jagua-Laka?,जगुअ - लकालोःदोबेन लेपेलअकना चि ?
"Mom said, Hey! You sneezed, I thought your dad sneezed.",एंगाते काजि तना अरे! अम हाचु:ला अइंग दो बुझाव तना चि अमआ अपुमाए हाचु:ला मेन्ते
"Therefore, population is a fundamental element in social studies.",एना मेनते सामाजिक अध्ययन रे होड़ो लेनेका मियद् आधार जिनिस तना।
"Old man - that is the matter, asking for a form of sautan for you at one place. What are you saying about that?","बुड़िअ - कजि नेअगे, मिद् तअःरेनको अम मेनते हिरूमरेको कुलितना। एनागे चेनअःम मेनेअ?"
"And these satellites include about 14 countries - France, Germany, Italy, Japan, Britain, America - besides India.","अर ने रे भारत लोःते एटअः फ्रांस, जर्मनी, इटली, जापान, ब्रिटेन, अमेरिका नेकन मोटा-मोटि 14 दिसुम नेरे जमाकना।"
"He passed many resolutions regarding the increasing miseries of the forest dwellers due to the salt tax, the treatment of Indian labourers abroad, and the forest administration interfering with the work of Indians.","इनि बुलुड. कर, एटअः दिशुम कोरे भारतरेन कमिनला तनको लोःते होबाओतन कजि-कमिको रे चा भारतरेन कोअः कमि कोरे बलयोतन बिर रइज चलवतन कोअः करणते बिर रे तईतनकोअः सद्व कोरअः बारे रे इसु सोबेन प्रस्तावको पास केदा।"
"When I asked his analysis,'Bhai, look, only youngsters come, even the elderly people come,'I was happy that among the prize recipients there are youngsters of 15 years, then there are elders of sixty-five to seventy years.","चिमतङ अइङ एना रअः एनालिसिस कुलि केद्-कोव चि हगाको, लेलेपे नौजवान को बारि को हिजुः तना चि पुरअः उमर रेन होड़ो कोओ को हिजुः तना, इमतङ अइङ रासिकाओ तना चि इनाम नम जद् कोरे 15 साल रेन युवाओ मेनअःइअ, ओड़ोः पैंसठ-सत्तर सिरमा हड़म होड़ो को’ओ मेनअः कोअ।"
Anate ge made Durang's ra: jugutu akada susun ko lo: te jodikana.,इसीलिए ही ने इन गीतों की रचना अखड़ा नाच के साथ समान है।
"That is, in the world, water is the basis of life of every living being and water is also the biggest resource, that is why our ancestors laid so much emphasis on water conservation.","मेनदो, संसार रे, दअः गि, सोबेन जिउ रे, जिनिद रअः सनब तनअः ओडोः दअः गि पुरअः मरङ साधनओ तनअः, एना मेनते अबुअः नङ होड़ो को दअः बनचव मेनते निमिनङ जोर केदा को ।"
How long will we leave them to fend for themselves?,चिमिनङ सनतेद् अबु इनकु के इनकुअः दसा रेबु बगे कोअः।
Sources said that the incident took place.,होबालेन नाड़ेः ते टोओर तान होड़ोकोआः काजिताइकेना।
Rath Yatra has a unique identity all over the world.,रोंवोंटो रेया: गोटा दिसुम रे मियद् इस बुगिन लेनेल उनुरुम मेना:।
