English,Bhili
how can we forget that crisis period of corona. the work of vaccinating crores of people at the fastest pace in the world was done in our own country.,"हमुं कीकम भुली सकयीं से कोरोना नीं मोटी काहटी ना टैम, दनियां मां सबथी वदारें जोर थी करोड़ों लोकुं नें vaccination नों काम हमारा इनां देह मां थायों।"
"inciting alauddin to revolt against jalaluddin, malik chajju's supporters insisted that he would need a lot of money to raise a large army and stage a successful coup: malik chajju's rebellion had failed due to a lack of resources.",जलालुद्दीन नी हमे झगड़ा हारू अलाउद्दीन ने आगली करवाणु मलिक छज्जू ने हाते देवा वाला जोर करीने केदू की इनामी एक मोटी सैना बण वाली अने एक अशल पालटी ने बदलानी हारू घणा रूपिया से मलिक छज्जू नो झगडी हातयार नी मलवा नी हारू इना कारण थी हारू गया हता से।
his son randhir directed the film and it was released in 1991.,लिना सोरा रणधीर ने पिक्सर नी जाणकारी करवी अने यो 1991 में रिलीज हुई |
"my dear countrymen, apart from cows and buffaloes, goat rearing is also an important sector in animal husbandry.",उड़ीसा ना कालाहांडी मां बोकड़ा पाळवा थी गांव नां लोकुं आपडी जिन्दगी ना हदारवा हारूं नज काम करीरया से।
"in both hindu and muslim courts, kathak became highly stylized and came to be regarded as a sophisticated form of entertainment.",गैस ना इंजवाका नी जगा ऊपर विजली ना इंज वाला आयूँ बेहवा की वैवस्था मा ह्दार थायो लोक महाकाव्यो संस्कृत नाटको अन होसेलो वार तरयो नी भेलियो करी आज नी विषयगत बणावी दे दा |
"whatever we are doing, we do not think by dividing and multiplying politics, we have only one resolution - nation first, nation first, nation supreme.","हमुं ज्युं कईंनुं करी रियां से, त्युं राजनीतिक नों भाग अनें गुणां करवा नी होसवा से, हमारों एकज वसन से nation first, nation first , राष्ट्रतिह सुप्रीम।"
"chand was once again not allowed to leave his platoon, although once again he was selected without formalities.",चंद ने वार फेर आपडी पालटी छोडवा नी अनुमति नी आली फेर भी एक वार फेर तिन वगर ओपचारिकताओ (निर्विरोध ) बवी लड़ो हेतो|
"after a seven-year hiatus from films, haasan returned as a dance assistant, apprenticing to choreographer thankappan.",फिल्मीयो ना हात वराह ना गैप बाद हासन नासवा परिकल्प थंकप्पन नो प्रशिक्षु बणी ग्यो एक नासवा वाला (वाका) मददगार ना रूप मा पासो आयो।
"till a few years ago, who would have thought that in our country, even village women would fly drones!",कईक वरहुं पेहलां किइनये होस्युं हतुं कि हमारा देह नीं गाम नीं बयरों ड्रोन उडाडही।
it is about the dangers of fervent nationalism and he wrote the first draft of its script in the 1940s.,य जोश भरी राष्ट्रवाद न खतरो न बारामा से उने 1940 नी पीढी म उनकी वातर नो पहलो वात लिएयो हतो।
hormusji soon established a prosperous hospital and dispensary in the heart of amritsar.,होमुर्सजीयी एकदम अमृतसर जिला ना वसमा एक उन्नति शील अस्पताल वणाया तिना अस्पताल ने ता खोल्या से।
"in november 1962, nehru asked manekshaw to take command of iv corps.",नवंबर 1962 में नेहरू ने मानेकशॉ ने 4 कोर नी कमान हमालवा हारू किदू।
"the marathas defeated the rohillas, forced them to take refuge in the mountains and plundered their country in such a way that the rohillas feared the marathas and hated them ever after.",मराठा में रोहिला ने हराया विनान दुग्रो मा रेवा हारू मजबूर करिया आने विनान देहां ऐना तरह हु लुटिया के रोहिल्का मराठो हु समकता था आने बाद जेर भी विनाहू नफरत करता था |
vajpayee himself came under public scrutiny for making a controversial speech the day before the mosque was demolished.,नमाज पडवाना मस्जिद ने तोडवा जावा थी एक दन पेल खू विवादित भाषण आलवा ना कारण वाजपेयी खुद सार्वजानिक जांच खबर ने दायरा मा आवी गया से |
the country and politics have to liberate us from dynasticism and casteism.,देश ने राजनितिनी हमुन परिवारवाद अने जातिवाद थी मुक्ति अलाडवी पवडहे।
"as a result, balaji rao ordered damaji to be bound in iron chains at lohagarh.",तिने कारण ही बालाजी राव ये थामाजी ये लोहागढ़ मा लोहड़ा नी जंजीरों मा बाधवा नो आदेश (आडर) आए यो।
"prataprao released bahlol khan, despite shivaji's warnings not to do so specifically, after which bahlol khan once again began preparations to invade.",शिवाजी हाते खास रूप मा ऐवु न करवानी धमकी बावजूद प्रताप राव ने बहलोल खान ने एक वार फेर लड़ाई नी तैयारी कर नाखी से
"five individual events, including men's singles, women's singles, men's doubles, women's doubles, and mixed doubles, are currently held in odd-numbered years.",पाँच एक -एक स्पर्धाए जिनमा आदमी एकल औरत एकल पुरुष अकेल महिला अकेल ऐवु मिश्रित (सामिल मा ) युगल आजे आंकड़ो वाले साल मा चालू की जाती हाथी |
he was the third son and sixth child of shah jahan and mumtaz mahal.,ये शाहजहाँ अने मुमताज महेल ने तिन अने चौकी चारो हता |
the party's flag consists of six joined hands in red and white alternating in a circle with a white star in the center on a black background.,पार्टी ना झन्डा मा कला रंग नी पृठभूमि मा केंद्र मा एक घोलू एक चक्र मा एकांतर हु रालू आने घोलू रंग मा सो हाथ जोडईला से।
the vishnukundins were his allies at the time and pulakeshin's subjugation of the vishnukundins brought him into conflict with the pallava king.,तीना वखत विष्णु कूण्डन तीनानो मददगार हतो अने पुलकैशी द्वारा विष्णु कुण्डमो ने हरवानी कारण पल्लव राजा नी हाते तीहुनो संघर्ष (झगड़ों ) थायो ।
"when the resolve of the countrymen is reflected in these things, then a new resolve becomes firm within us.","देहवासियों नी इनी वातयों मां जेर वसन देखाय तें, तेर हमारा मनमां एक नवों वसन पक्को बणीं जाय से।"
"today, the pli scheme has been a huge success. fdi reforms have also given us great strength.",आज pli योजना ने घणी जीत मली से fdi reforms तिनी पण हुमुने घणी ताकत आाली से।
"in india, he is often referred to as the magician of hockey, which translates to ""magician of the game of hockey.""","भारत मा तिनी अक्सर हॉकी ना जादूगर ना नाम थी जाणीयो जाए है तिनो अनुवाद"" मैजिशियन आफ द गेम ऑफ हॉकी"" है।"
"i also urge first-time voters to vote in record numbers, as you are getting a chance to elect a member to the 18th lok sabha after turning 18.","हुं, पेहली वखत सुणाव मां वोट देवा वाळां ही मनवार करूं से कि केम 18 वरहें मां वोट करवा पर तमुं 18 वीं लोकसभा नें सुणीरयां से।"
"the maratha victory forced hyder to retreat, he had to abandon bednore, although he managed to take its treasures to seringapatam.",मराठा विजय ने हैदर ने पछाडी हरकावा हारु मजबूर कर दियू तिना बेडनोर ने छोडवु पडियु केमकि त्या इमा खाजाना ने श्रीरंगापटटम लि जावा भी सफल रिया
he has made other robot clones of marge that did not work properly.,इना मार्ज मो एक रोबोट कलीन बनायू अने असल काम नी करयू से
a developed india by 2047 should also be a healthy india.,"वदतु भारत2047, वी ताजूतरे भारत वण थावु जोये।"
"he was set to direct mehndi, starring his son rishi and pakistani actress zeba bakhtiar, before his death in 1988.",यह 1988 मा आपडी मखाने पहले आपडा बेटा ऋषि अने पाकिस्तानी अभिनेत्री जेबा बखित्यार अभिनीत मेहँदी नो हम झडवा हारू तैयार हतो |
there are some people who cannot think well of india unless they are well themselves.,"कइना मनख थाइ्र जि भारत नू भळू नी होसी सके,झेर तक खुद नू भळू नी थाई, तेर तक तिनाने कइना नो भळू असल नी लागे से।"
the youth of my country does not believe in incremental progress. the youth of my country is in the mood to take a leap.,मारा देहना जुवानो इंक्रीमेन्टल बढ़ोतरी मा भरोहो नी करे l मारा देह ना जुवालो फलोंग मारवाना मूड मा से ।
i assure you that we will win every bad person with our goodness.,"हर बुरी नजर वाला न अमु अमारी असल नियत ही जीतहू ,यो हू विश्वास आलू से।"
we make continuous efforts to fulfil that and i have dreamt that 2047 will be when the dream of a developed india will be realised.,तिन्हने पूरू करवा हारू हमु हमेसा कोशिशु करिये से अने मे ते हपनो देख्यो से के 2047 जेरा बढ़ोतरी वाळु भारत नु हपना थाहे ।
former members of the bjs formed the bharatiya janata party under vajpayee's leadership in 1980.,बीजे एस नो पूर्व /पहला ना सदस्य यी 1980 माँ वाजपेयी नी नेतृत्त्व /देखरेख मा भारतीय जनता पार्टी नो गठन करेलो |
it is not just the government of india. state governments are needed in a big way.,"सिरफ भारत सरकार थी यू काम नी थाय से ,राज्य सरकारों नी वदू मोटाी जरूरत से।"
"many people have lost their family members, lost property, and the nation has also suffered repeatedly in the natural disaster.","खरेखर दनियां नीं कळाहरू, मां घणां लोकुं नें आपड़ा कुटुम नां खोवियां से, राष्ट्र नें बी घडी-बे-घडी नुकसान भोगव्यों से।"
"major dhyan chand khel ratna award, india's highest sporting honour, is named after him.",भारत ना सबथी मोटा रमवानो सम्मान मेजर ध्यानचंद रमवानो रतन इनाम तिना नाम मोकलीयो ग्यो से।
the possibilities have increased. new opportunities are being created. the youth of my country no longer have the intention to walk slowly.,आह वहती जाईरी से 1 नवो मोको बणी रिया से । मारा देह ना जुवानो ने हाऊं धीरे-धीरे साळवा नो इरादो नी से
"jami-ul-hikaya and taj-ul-maasir mention only the second battle of tarain, in which prithviraj was defeated.",जमी-उल-हिकाया अने ताज-उल-मासिर ने तराइनी न खाली बिजी लडाई नी उल्लेख करियू से जिनमा पृथ्वीराज ने हरावी दियो।
"on his return to india, chand resumed his work at the barracks.",भारत पासो आवीं चंद ये बैरक मा आपड़ो काम फेर ही सालु करी देदु |
"gavaskar was captain of the indian team on several occasions in the late 1970s and early 1980s, although his tenure as captain was not as impressive.","गावस्कर 1970 ना दशक ना चेला अने 1980 ना दशक नी सरुवात मा घणा मौखा पर भारत नी टीम ना कप्तान हेता ,फेर भी तिनाना कप्तान ना रूप मा कार्यकाल ऐतरो प्रभावशाली (खास ) नी हेतो |"
"however, alauddin had decided to capture padmini by trickery.",केमकी अलाउद्दीन ने पद्धिनी नी धुतवीन थी धरवा हारू नो फैसलों लेवा कारियों से |
and i am happy that crores of citizens of my country have given countless suggestions for a developed india 2047.,अनें मन परसन से कि मांरा देह नां करोड़ों मनखुंईं बणेंलों भारत 2047 हायं घणीं जबर रॉय आली से।
"two months later, afzal khan sent an emissary to shivaji and suggested that the two leaders meet privately outside the fort to confer.","बे मयना पछाडी, अफजल खान ने शिवाजी ने मेरे एक दूत मोकलियो अने सलाह आली कि बेहे नेता किला नी बाहर खुद तोर पर आपस मा वातचीत करवा हारू मलियो।"
customs were putting a lot of pressure and our goal was at their mercy.,कस्टम्स वदु दबाव बणावीरी था अनी हमारा गोल तिनी दया पर हता ।
"they walked with a dream, they walked with a resolve, they struggled; there was only one voice - vande mataram, there was only one dream - india's independence.","एक हमणों लीन जाईं से, एक वसन लीकरीन सालतां रियें, जूझतां रियें, एकज गुंज हतीं, वन्दे मातरम् एकज हमणों हतो, भारत नां सुटकारा नों।"
he served as the member of parliament for lucknow and retired from active politics in 2009 due to health issues.,ई हुयी लखनऊ का सांसद ना रूप माँ कार्यो करो आने स्वास्थ्य शरीर कि समस्या नी कारन २००९ मासक्रिय राजनेतिक थी सेवा निवृत /घेर बेहाड़ो से |
the construction of the footpath and the steps leading to the falls were undertaken by the local administration.,बाजार मा काम फॉल्स नो जोवू वाली सिढियो नो काम स्थानीय प्रशासन द्वारा किया से
"through the pm-janman yojana, development is reaching even those tribal areas of the country which were left behind, no one was asking.","पीएम जनमन ओजना ना रीतें थी देह ना तिनां आदिवासी ईलाकों मां पण विकास ने पुगाडी़ रियां से जां सबथी पसाड़ी सुटी गेलां हतां, कोईबी पुसवा वाळों नी हतों।"
tahmasp urged that humayun convert from sunni to shia islam to keep himself and his hundreds of followers alive.,तहमास्पयी आग्रह करयु कि हुमायूं खुद ने अन आपडा सैकड़ों अनुयायियों ने जीवित रखवा हारू सुन्नी थी शिया इस्लाम मां परिवर्तन करलेहे।
"for example, poems numbers 69, 281, and 375 mention the mauryan army and chariots, while poems numbers 251 and 265 probably allude to the nanda dynasty.","उदाहरण ना हारू कविता संख्या 69,281 अने 375 मा मौर्य सेना अने रथो का लखेलू से जहरे कविता संख्या 251 अने 265 शायद नव राज्य ना वंश ने इंगित करता से।"
"the delhi army also captured several people, including the vaghela queen kamala devi and ghulam malik kafur, who later also led alauddin's southern campaigns.",दिल्ली नी सेना थी कई मनखूं ने धारी लेदा जिनमा वाघेला राणी कमला देवी अने गुलाम मालिक कापूर हता जिना बाद मा अलाउद्दीन ने दक्षिण कामों ने हमाक वा नी काम करि हतु।
"on 24 september 2008, dev joined the indian territorial army and was commissioned as a lieutenant colonel by the chief of the army staff, general deepak kapoor.",सोविः सितंबर बे हजार आठ मा देव भारतीय देशनी आपडी सेना मा भैला थाया अन सेना ना खास आदमी जनरल दीपक कपूर यी तिनान लेफ्टनेंट कर्नल ना पद पर नौकरी पर राख्या |
gandhiji made another compromise by reducing the time from two years to one.,गाँधी जी से एक अन हम जोतरो करवा जाए समय ने वरह थी घटाड़ीन एक वरह कर दिदु से |
"the indian cricket team, led by rahul dravid, and tendulkar had a disappointing world cup in the west indies.",वेस्ट इंडीज मा थाई ला पूरा देह नो कुप मा राहुल द्रविड़ नी अगाडी वाली भारत नी दडियो नो समूह अने तेंदुलकर नो असल नी रामवानु (भूडो रमेत )देखेलु से |
the wonderful moments that the youth of kashi and the surroundings have captured on camera are very impressive.,काशी अन आहें-पाहें ना जुवानियां ये मोबाईल थी खिसेलां फोटु घणां रूपाळां से। आज जिनें कनें मोबा. से त्यों हदबंद वाळों बणीगयों से।
askari mirza took akbar under his shelter and grew up under the care of kamran and askari mirza's wives.,अस्करी मिर्जा ने अकबर ने आपडी शरण मा लई लिदू अने कामरान अने अस्करी मिर्जा नी बयर देखभाल मा त्या मोटा थाया।
"in march, the pakistani armed forces launched an intense campaign to curb the separatists, which included soldiers and police from east pakistan.",मार्च मा पाकिस्तान सशस्त्र बलों ने अलग करवा वाला पर लगाय लगाडवा हारू एक उतावलू काम करवा हारू पूर्वी पाकिस्तान ना सैनिक अने पोलिस भेला हुता।
"and because of that, he continued to live through adversity.","अनें तिनां कारण थी, काहटियों नें झेलतां जाईं गुजारों करता रियां।"
"you see, we can do almost 25-30 million reforms in a year.",तमु भाळिये हमु भाळि तो थी भाळता एक वरह मा घणुस घणु 25 30 लाख रिफॉर्म करि सकिये से ।
"tajikistan will now defend its border without russia's assistance, as the border guards of the pyandzh unit leave the area.","तजाकिस्तान अभे रूस की मदद बिनु आपणी क्षेत्र मदद करेगा ,यू प्यांद्ज पहली क्षेत्र रक्षक क्षेत्र छोड़ी देतो है |"
"let us make the dreams that our ancestors had, our resolutions, connect our dreams, connect our purusharthas and make the 21st century, which is india's century, our resolve.",हमारां खतरीजों थी ज्यों हपना देख्यां तां तिनां हपना हमु संकल्प बणावीय हपना ने जोडिेये आपडा पुरूषार्थ ने जोडिये अने २१वी सदी जे भारत नी सदी स।
"secondly, these are the supportive infrastructure needed for the changing systems.",बिजा यी बदळती थाई वेवस्तायु हारू यी जी सपोर्टटीव.इंफ्रास्ट्रक्चर जोईये ।
"developed india 2047, these are not just words of speech, hard work is going on behind it.","बणेंलों भारत 2047, यो खाली भाषण नां शब्द नीं मळें से, इनांनी पसाड़ी भारी मेनत साली री से।"
"he has won sixteen filmfare awards and is the most nominated performer in any major acting category at filmfare, with 42 nominations overall.",तिनाये सोलह फिल्म फेयर ईनाम जीतीया है अनी कुल मिलावीन नामांकित कलाकार है। -42 नामाकनो नी हात फिलमफेयर मा कईना पण खास अधिनय श्रेणी मा सबथी वदु नामांकित कलाकार हैं।
"for this, our government is working very hard in the campaign to build eklavya residential schools in tribal areas.",इना लेदे हमारी सरकार आदिवासी इलाकु मा एकलव्य आवासीय स्कूल बणावा ना अभियान मा घणी मीनत करी र्यी से ।
"although gandhi held no official position, he had great influence over the government.","हालाकि गांधी ना पास माँ कोई मोटा /आधिकारिक पद नी हटो ,लेकिन सर्कार पर महात्मा गांधी नो अधिक प्रभाव /दबाव हतेलो |"
"it originated in the 12th century ce, when it diverged from carnatic music, the classical tradition of the southern regions of the indian subcontinent.",इनमा थायो एक अने बी पुराणी इसी मा हाया जेरे या भारत मा उपमहाद्वीप अने दक्षिणी गांवो मा इनो परंपरा कर्नाटिक संगीत मा अलग थाये से
this has proved one thing that india has the power to organize the biggest work program.,इने एक वात खरी कर देदी के भारत मां मोटा काम कार्यक्रम ने organize करवा नी ताकत से।
who of our people were deprived of these provisions? who were left behind? the front-line of society did not live in deprivation for this.,"हमांरा कईंना कईंना लोकुं सुटेलां हतां, इनां व्यवस्थाओं थी, कुन पसाड़ी री गेलां, हमाज नां अगाड़ी नीं लाईंण मां लोकुं इनां हारूं अभाव मां नी जीवतेंलां।"
nehru was arrested in 1921 on charges of anti-government activities and released a few months later.,नेहरु नो सरकार विरोधी ना करेला कामु नो आरोप मा १९२१ मा धरया से कई ना मई ना बाद इने पसा सोडी देदा से |
"the surgeon initially refused to treat manekshaw, saying that manekshaw was badly injured and his chances of survival were slim, but singh forced him to treat manekshaw.","शल्य चिकित्सक ने शुरू मा , मानेकशा को इलाज करवा थी इंकार करी देदो , था केतेला कि मानेकशा बुरी तरह थी घायल थाई गेलो आने उनकी बचने /बसवा नी संभावना घणी कम से , लेकिन सिंह ने एहने माने कशा को इलाज करवा हरु मजबूर केरे लो |"
"while ratan sen was in captivity, king devpal of kumbhalner, enamoured by padmavati's beauty, proposed marriage to her.",जहर रतन सेन जेल कल कोठरी माँ हतो तेर कुंभ ल नर ना राजा देवपाल ना पद्दमावती नी घणी असल रूप या शकल थी एक -बीजा मन भटका ड वा हारू (मोहित)तीनू येई विवाह प ई णा वा करवा ना फैसलों ना प्रस्ताव करियो से |
"according to amir khusrau, 20,000 mongols were killed in the battle, and many more were executed after being brought to delhi as prisoners.","अमीर खुसरो नी केदा लड़ाई मा 20,000 मंगोल भारी नाएया अने कई अने दल्ली मा कैदियों न रूप मा लावी ने भारी नाएया।"
he wrote ishavasyavritti and sthitaprajna darshan in jail.,तिहुई जेल मा इसा पेलखी अने मन हासू राखी न तिना दर्शण लिखया |
"banks are the biggest support for our msmes, our small-scale industry.","हमारों msmes, हमारा नाना-उद्योग हारूं तें बैंक एक सबथी मोटी मदत रे से।"
"history is witness that even before the 1857 war of independence that we remember, there were many tribal areas of our country where the war of independence was fought.","जुनां-जलमांरा गवा से कि 1857 नां सुटांरेवा संग्राम जिनांनें हमुं याद करीयें से, तिन्हुथो पेलखो बी हमारों देह नें घणां आदिवासी ईलाका हतां, जां सुटाकारा थी, जंग लड़ी हती।"
"under this award, change makers who have become effective voices of social change using technology will be honoured.",ऐवा जुवान्यिा नें इलाज आलही सरकार जिहुंये ऐवी टेक्नॉलाजी मां असल काम करीन हमाज नें बदली रया से।
"the ball hit the defender's hockey stick and went into the net, giving goalkeeper colley no chance to save the goal.","गेंद बचा ड वा वाला नी लाकड़ा नी घोटी ही टकराईं ने जाली मा नाही ग्यी ,तिनही गोलकीपर (गोल ने हमें ऊबो रेवा वालो ) कोली ने गोल वसाडवा नो कई मौखो नी मल्यो |"
let's take our time to figure out what we need to do next.,"अगाडी वाळां अगाड़ी जावा हमुनें हुं, करवुं से, हमुं आपड़ों टेम निकाळी दियीं।"
"we are working in a countrywide mission to make ease of living. at every level, i call upon the government to do these things.",इजी ऑफ़ लिविंग बणावा मा आखा देह मा हळमु मा हमु कामु करिर्या से । हंगळी परमाणे पर हुं सरका रू आडी इनी सीजुं नु तेहु करू से।
"when a handful of such despairing people carry a deformity in their bosom, it becomes a cause of destruction, a cause of apocalypse.","ऐवा मुठी भर निराशां मां डूबेलां मनख झेर तिनानां खोळा मां खराबी पळे से , तेर त्यों खत्म थावानू करण बणी जाए, सब खत्म थावा नू करण बणी जाएा"
"there is also a still from the film, showing apu's sister durga and mother sarbojaya getting her hair done, in an exhibition, the family of man, which was viewed by 9 million viewers.",फिल्म न एक रोकाई लू फोटो से जिनमा आपू नी बहन दुर्गा अने मा बदी जय उनके बाल बणावी री से एक ओ एम ए नी एक वताडी ने फैमिली ऑफ मेन ना वताडी ग्यो जिनमा 90 लाख देखवा वाला देखा था
