Unnamed: 0,Hindi,Mundari
94141,पहाड़ी खून से लाल हो गयी।,बुरु मयोम ते अरअः उतर जना।
29929,1947 में जब पाकिस्तान के हमलावरों ने एक अप्रत्याशित हमला शुरू किया तो यह वायुसेना ही थी जिसने श्रीनगर को हमलावरों से बचाने के लिए ये सुनिश्चित किया कि भारतीय सैनिक और उपकरण युद्ध के मैदान तक समय पर पहुँच जाएँ।,1947 रे ओको इमतङ पाकिस्तान रे हमलावर को मियद् अप्रत्यासित लड़ाइ को एटेः तअः इमतङ ने वायुसेना गे श्रीनगर के हमलावर कोए ते बंचव रअःए सुनिसचित केदा चि भारतीय सैनिक अर उपकरण लड़ाइ रअः मैदान जकेद् समय रे सेटेर लेना। वायुसेना
21760,"पानी की एक-एक बूँद को बचाना, पानी की किसी भी प्रकार की बर्बादी को रोकना यह हमारी जीवन शैली का एक सहज हिस्सा बन जाना चाहिए। हमारे परिवारों की ऐसी परंपरा बन जानी चाहिए, जिससे हर एक सदस्य को गर्व हो।","दअ: रआ: मिमियद् टिपा: के बनचाव, दअ: रआ ज़ां लेकन बर्वादी के रोकव या नेआ अबुआ जीवन शैली रआ मियद रबल हिस्सा बईन ताइकेना।अबुआ परिवार रआ नेकन परंपरा बईयो लगतिङा, ओकोआ तेचि हर मियद् सदस्य को गर्व होबाओ:अ ।"
96699,दुरगा-यह तो तुमने सही कहा है।,दुरगा - हेनेः दोम टउकातदा।
31605,11 महीने तक उसने कड़ी मेहनत करके प्रशिक्षण हासिल किया और अपने पति के सपनों को पूरा करने के लिए उसने अपनी ज़िन्दगी झोंक दी ।,गेल मिद चंडुः जकेद् इसु कुरूमुटु केअते प्रशिक्षण अगु केदअ ओड़ो अपन किसानअः कुमु को पुराव मेनते अःए अपन जिदन ओम गिड़ि रेकिन अचुन जना।
36495,ओ.आर.एस. के पैके ट बाँटे जा रहे हैं।,ओ. आर. एस. राः पैकेटको हनाटिड. जादा।
57545,"जांता में मड़ुआ पीसने जैसा,",जनतिरे कोदे हो रिदेलेका;
52246,यह काम सब खत्म होने के बाद दुल्हन को लाने जाते हैं।,नेअ कमि को चबा जन चि कोनेअ आगु को सेनोआ ।
76382,"युवक युवतियां कपड़ों के लिए हठ कर रहे हैं, माता पिताओं ने सुरगुजा बेचकर कपड़ों को खरीद रहे हैं।",दंगड़ा दंगड़िको लिजअःको हटितना; एंगा अपुकोदो सुरगुनजा अकिरिड.केते लिजअःको किरिड.तना।
53604,"इतने पर भी, अन्त में आप पकड़े गये।","इमिनरेत्र्प्रो, टुनडुरेदोम सब्जना।"
21464,"मार्च, 2021 में WHO ने घोषणा की थी कि भारत में पारंपरिक चिकित्सा के लिए एक Global Centre स्थापित किया जाएगा।",मार्च 2021 रे WHO नेआए रोजोटो लेदा चि भारत रेअ: जाओ आते मेनअः पुरना रे'द रानू नातेन मिअद Global Centre तिगु रिकाओ का ।
33292,"कोई पर्यावरण की चर्चा करता है तो उसकी पीड़ा तो महसूस होती है, लेकिन साथ-साथ उसने, ख़ुद ने जो प्रयोग किये हैं वो भी बताता है – जो प्रयोग उसने देखे हैं वो भी बताता है और जो कल्पनायें उसके मन में हैं वो भी चित्रित करता है।","जाँए पर्यावरण रेअः उकता तना दो इनिअः दुकु अटकारो तना, मेनदो सोंगे-सोंगे गे इनिः, अए जे प्रयोग कदाए एनाओः उदुबतना- जे प्रयोग इनिः लेल तना एनाओः उदुबतना ओड़ोः जे ओममनाको इनिअः रे मेनअः एना रओः चपा बइतना।"
47246,इस गति को दोलन गति भी कहते हैं।,ने गति के दोलन गतियो को कजिआ।
5923,"हां, जल्दी ही आते तो अच्छा होता।",हे सेकेड़ागे होनाडेः हिजुः कोःरे।
25456,"और इसलिए तो मैं कहता हूँ – let us aim to innovate और जब मैं let us aim to innovate कहता हूँ, तो मेरा AIM का मतलब है ‘Atal Innovation Mission’।","ओड़ोः एना मेनते गे अइङ कजिअः -हिजुः पे आबु जांन नवा रिकाए रअः मकसद् बु जोगावएअः ओड़ोः ओको इमतङ अइङ हिजुः पे आबु जांन नवा रिकाए रअः मकसद् बु जोगावएअः कजिअः, दो अइअः AIM रअः मोतलब तनअः ‘अटल इनोवेशन मिशन’।"
69717,"उसके पास भी ऐसा ही बोला, और मधुरा ने कहा, ""तुम हाकिम के पास जाओ; उसे तो हम डरते हैं।","इनिः तअःरेओ नेकागेए कजि केदा, अद् मतुरा मेतअःइअ, ""हकिम तअःते सेनोःमे; इनिःदो सोबेन- कोबु बोरोअइतना ।"
45316,1870 और 1880 के दशकों में ब्रिटिश शासन के प्रति असंतोष और ज्यादा गहरा हुआ।,1870 आद् 1880 रेअः दशक रे विलायति रइज रेअः का सुकु ओड़ो पुरअःगे इकिर जना।
8497,मैं अभी उसे पूरा करता हूँ।,आञ नाआः गे एना छाबा लेआञ।
29443,"तो जैसे 1942 to 1947 पाँच साल देश को आज़ादी के लिए निर्णायक बन गए, ये पांच साल 2017 से 2022 के, भारत के भविष्य के लिए भी निर्णायक बन सकते हैं और बनाने हैं।","तोबे चिलका 1942 ते 1947 मोड़़े सिरमा दिसुम के रानाड़ा मेनते कजि गोटाए को बइ जना, नेअः मोड़ो सिरमा 2017 ते 2022 रअः, भारत रेअः हिजु तन बेड़ा मेनते ओगे कजि गोटाए को बइ दाड़िओअः ओड़ो बइ तेआ मेनअः।"
38087,पुरूषों और स्त्रियों की हैसियत एक जैसी नहीं होती है।,हेरेल कोअः ओड़ोः एरा कोअः हैसियत मिद् लेका का होबाओःअ।
44615,सूदखोर महाजन भी आदिवासियों को कर्जा तो देते थे लेकिन उसका ब्याज बहुत ज्यादा होता था।,"सूद् जोमतन महाजनकोओ आदिवासीको के रिंड़िदो को ओमाकोतन तईकेना, मेनदो एना रेअः सूद् इसु पुरअः तइनतन तईकेना।"
52609,बलगा-‘‘बुढ़े लोगों के साथ बैठ विश्राम करने से ये सभी बातों को मैंने सीखा है।,"बलगा, ‘‘हड़म होड़ोको लोः दुब्जरुते ने सोबेन कजि कोइङ इतुकेदा।"
33572,ये हम सबके लिए भी प्रेरणा है।,नेआ अबु सोबेन को मेनते ओ प्रेरण तनअः।
59228,सभी तख्तियों का चालान हो गया और रद्द करके बचे हुए तख्तियों की चीराई की मजदूरी हमलोगों को मिला।,सोबेन पालि चलानजना; अद् रदिकेद सरेःजन पालिको रअः हद् नलालेनमकेदा।
11600,जिससे सक्रिय हुए विरोधी परास्त होंगे।,ओकोआ ते कामितान मुदाइको हारातिङओअ।
6877,और बकरे तथा भेड़ को घसीटते हुए बेंत छड़ी की फटकारते हुए डाउडीह गांव से निकले और रात की अंधियारी में खो गए।,इनाते मेरोम आ'र मिण्डि ओर जाद कोलोः डाउडी हातुआते बेएते डाण्डाः फेरओआड़ां जाद लोः उड़ुङ जाना आ'र लाता लेकान नुबाः रेको आद जाना।
12138,आज प्रधानमंत्री फसल बीमा योजना में इतने कम समय में कई नये किसान इसके साथ जुड़ गए हैं और करीब-करीब ये संख्‍या आगे चलकर के पौने छह करोड़ पर पहुंची है।,नआ प्रधानमंत्री फसल बीमा योजना रे हुडिंङ सोमय रेगे मोद् पूरा:किसान को जुटिदेन जाना ओड़ो नेआ आयर रे करीब पौना तुरिआ करोड़ो तेबगोआ।
49120,इसी लिए उस जगह को बल सुखाने टांड़ से जाना जाता है।,एना मेन्ते एन टॉव उब तासे पीड़ी गे सकिअ कना।
94230,उरांवों के काम से इंकार करने पर जमींदारों के होश कर रहे हैं।,उरङ को कमि काकोअः जन चि जमींदार को अटकर उरुम केदा चि हातु होड़ो को बखेड़ा को एटेः केदा।
47610,क्या कभी आपने सोचा है कि हम विभिन्न वस्तुओं को कैसे देख पाते हैं?,चनअः चिउलओ अपे पे उडुः कदा चि अबु बिनगा-बिनगा जिनिस कोके चिल्का बु नेल दड़िआ ?
35226,"यह दिन बहादुर जनजातीय स्वतंत्रता सेनानियों की स्मृतियों को भी समर्पित है, ताकि भावी पीढ़ियां देश की खातिर उनके बलिदान के बारे में जान सकें।","नेआ हुलाङ बहादुर जनजातीय स्वतंत्रता सेनानिकोआ स्मृतिकोके होबु समर्पित मेना, चिआचि हिजु तन पिढ़िको दिसुम रेआ मेनते इनकुआ बलिदान रेआ बारे रे सारि धाड़िकको।"
78421,मुण्डा-भाषा का व्याकरण बहुत महत्त्वपूर्ण है।,मुण्डा जगर रअ बेयाकरण इसु मरङ मेनअं।
30433,बड़े गौरवपूर्वक अच्छे अनुभवों को भी लिखा |।,इसु जी-कुडाम मनारंङ लेकन सुगाड़ा इनितुकोको ओल केदा।
57771,उन तीनों औरतों के पहुंचने के बाद डोंका के साथ एक दूसरे को अभिवादन किया।,"एन अपि होड़ोको तेबअःलेनचि, डोंका लोःको जोपोअरजना।"
73761,इससे शगुन मोड़ने का समय ठीक से मिलेगा।,एनते एरे लटुम रअ: समए टउकागे नमोअ।
90704,82. घनघोर जंगल के बीच कटोरे की उलटा कर रखा गया है- बाघ के पंजे।,82. तला टोनंगरे डुभाको हरूबाकदा। - कुला मंडा
30427,"अपनी एक उदासी के दौरान, उन्होंने, बड़े पैमाने पर इस्लामिक देशों की भी यात्रा की थी, जिसमें, Saudi Arab, Iraq और Afghanistan भी शामिल हैं |।","अकिनअः मियद गोसो दिपिला, अकिन इसु पुरअः मुसला कोअः दिशुम कोतेओ किन सेन केना, एना कोरे Saudi Arab, Iraq ओड़ोः Afghanistan जमा कना।"
79042,बलि चढ़ा लेने के बाद जब मांस काटा जा रहा था।,"बोगा किः चि जिलु गेद् तन को तैकेना,"
71080,वह कुत्तों से पूछती-।,सेता किङ कुलीः जअः किञ-
45266,"जब दूसरे बच्चे शिक्षक को सुन रहे होते थे, टैगोर का दिमाग कहीं और भटक रहा होता था।","जेते एटअः होनको इतुनतनि के को अयुमतन तईकेना, टैगोरअः मोन जां जेता तअःरे होनोरबड़ा तन तईकेना।"
44362,"असल में, कंपनी ने जो राजस्व तय किया था वह इतना ज्यादा था कि उसको चुकाने में जमींदारों को भारी परेशानी हो रही थी।","असल रे कम्पनि ओकोअ मालएः करार लअः, एना इमनुड. पुरअः तईकेना चि एनाके हल रूअड़ा मेनते जमीन्दारको पुरअःगेको बलय चबाओतन तईकेना।"
78232,"अनुवाद के विषय में कुछ पूर्ववर्त्तो विद्वानों का आग्रह रहा कि छन्द का अनुवाद छन्द में ही होना चाहिए, वह भी अँगरेजी के छन्द में।","उल्था रअ बिसए रे तरा सिदारेन बिदुवानकोवआ कजि तइकेन चि छन्दि रअ उल्था छन्दि रेगे तइन लगातिङ तना, एनाओंगे अंग्रेजी रअ छन्दि रे।"
86666,अतः हम कह सकते हैं उस काल में पढ़े लिखे मुण्डा लोगों की इच्छा शक्ति के कारण पुस्तकें जल्दी छापी गई ।,जमाते एन दिपलि पड़व तन मुण्डा होन कोआ चुहुल ते पुथि सेकेड़ा बाइ जना।
59440,"दुकुरा ने कहा - आपके कम्पनी का नाम हंसने की तरह है, बिरजा बियर कम्पनी या हतु बियर कम्पनी ?",दुकुरा मेनकेदा - अमअः कुमपनि रअः नुतुम लनदाओः लेकागेअ; बिरजा बिअर कुमपनि चि हतु बिअर कुमपनि ?
88264,ने लेकाते तुयु एन होड़ो कुला मोचा तेए: बंचव लि:अ।,इस तरह से सियार उस आदमी को बाघ के मुँह में जाने से बचा लिया।
68046,"उड़ुगा-‘‘ हां, जी ! मुझको चाचा कहता है।’’।","तिरला, ‘‘अतेअ, ककिअइङअए चि ?’’"
83356,"सूर्य के कुछ नीचे उतरने पर वर्त्तन में रखे तेल में अंगुलियाँ डुबा कर, चेहरे में मालिश किए, और कहा गया चलो, और सोंटे पकड़ कर निकले।","सिंगि गनडेनोः जनते, सुनुमको चबुःकेदा, अद् दोलबु मेनजना, अद् सोटाको सद्केद्तेको उड़ुङजना ।"
12084,कालेधन के खिलाफ हमारी लड़ाई जारी रहेगी।,कालधन रेआ बिरोद रे गोपोए जोरा कनगे ताइना।
79998,आह ! रामायाण! वाह रामायण ! अहा! भारत! महाभारत ! आह ! मेघदूत ! वाह ! मेघदूत ! आह !,आह ! रामायाण! वाह रामायण ! अहा! भारत! महाभारत ! आह ! मेघदूत ! वाह ! मेघदूत ! आह !
32933,"जनरल थिमैय्या, जो भारतीय सेना के भी प्रमुख रहे, ने Cyprus में UN Peacekeeping force को lead किया और शांति कार्यों के लिए अपना सर्वस्व न्योछावर कर दिया।","जनरल थिमैय्या, ओकोन भारतीय सिपई कोवा प्रमुख तइकेना, ने Cyprus रे UN Peacekeeping force को Lead केद को तइकेना ओड़ोः शान्ति कमि को नगेनते अपनअः सर्वस्व ओम केद तइकेना।"
30497,"और इसलिए आप जिस भी शहर में रहते हों, वहाँ, अपने आसपास Run For Unity के बारे में पता कर सकते हैं |।","ओड़ोः आपे जेतान शोहोर रेओ पे ताइन तना, एनतअ् आपेयआ जपा-पआ कोरे run for Unity रअः बारे कुली जगर दाड़ियआपे।"
36395,"सड़क किनारे की दुकान का छोटा व्यापारी, जिसके बारे में आपने पहले पढ़ा था ,","सङड़क जापाराः दोकानराः हुड़िङबेपारि, एनबारेते सिदारेपे पढ़ाओलः।"
5300,मैं उतना नहीं कम कर सकुँगा।,का कइङ दाड़िआः आमिनाङ हाड़ागुन दो।
63972,बुढ़िया - मतुरा के घर की अगुवाई के लिए तुम किसी तरह का शंका संदेह मत रखो।,बुड़िअ - मतुराअः ओड़अः रअः दुतम मेनते अलोम डरेन मरेनेना।
64640,उसे खाकर उस बच्चे को गोमके कह रहे थे-‘‘क्यों फलना !,"एनाको जोमकेद्ते, एन होन गोमकेए मेतअइतना, ‘‘चि, पलना !"
91259,"बुरूमा में हमने जो देखा उसके साथ, यहां और एक ऐसा हुआ।",बुरुमारेबु लेलकेद् एरे लो: मोद्जना ।
14191,ये सामर्थ्‍य हमारे वैज्ञानिकों का है।,नेअ पेड़ेः दो अबुअः वैज्ञानिक कोअःगे तनअः।
86507,मुण्डारी लोकगीतों में इतिहास।,मुण्डारी लोकगीत रे एतेहइसि (इतिहास)
34463,ये आपको बधाई है हमारी तरफ़ से।,नेआ आमके बधाई मेताम तनाले आलेआ सह ते।
4889,बिजली की चमक और गड़गड़ाहट होने पर ऊँचे और एकल बड़े पेड़ों के नीचे न जाएँ।,"बोजोर उइयु: आद् लारि गड़ागुडू रेदो, चेतन ओड़ो: मिअद् सलंगि दरू सुबा रे का तइन लगातिङअ।"
90732,"110. हम्या के बाद, छीलने के बाद, गाड़ने के बाद रोता है- ढोलक।","110. मअःतइ, पोटअःतइ, तोपातइ निःयाएः रअःया। - ढुलकि"
52025,पहली बारिश बरसात पानी में बुना गया।,सिदा रे उदुब लेका गे उयुः दअ जरगि दअ हेर चलु केदा।
77197,मेनते सेंड़ानको कजिअकदा ।,कहके विद्वानों ने कहा है।
60752,वे वहीं खेती बारी करते थे वहीं बुढ़िया को एक बच्चा पैदा हुआ।,एन अटा-मटा बिर को तला रेगे किन चस तनतइ चेना। एन किंगा मोयोद् कोडा होन होबा जना।
44787,1897 में जेल से लौटने के बाद बिरसा समर्थन जुटाते हुए गाँव-गाँव घूमने लगे।,1897 रे जेल ते रूअड़ाजन तयोमते बिरसा समर्थन जुटव केअते हतु-हतु होनोरबड़ा जना।
57476,इसके बाद ओकोड़ा बुढ़िया युवतियों से कह रही है- बातों को मैंने समाप्त कर दी। चलो अब तुमलोग तुलना करके बताओ कि वनप्रदेश में रहना अच्छा है कि टांड़ प्रदेश में रहना अच्छा है ?,"एनते ओकोड़ा बुड़िअ मेतअकोतना - जगरदोइङ टुनडुतअः। मर, नाअःदेा जोकाएपे, बिर दिसुमरे तइनतनको सुकुतना चि पिड़ि दिसुमरे तइनतनको सुकुतना?"
2085,गांव में कितने किसान है?,हतुरे चिमिनं किसान मेनअः कोआ?
52461,"बलगा-‘‘ आप तांती लोग धूप से डरते हैं, वर्षा से भी डरते हैं और जाड़ा से आपलोग डरते हैं, यह बहुत दुख की बात है कि नहीं ?’’।","बलगा, ’’अपे पेंड़ांएंको जेटेओपे बोरोअः, जरगिओपे बोरोअः, ओड़ोः रबङओपे बोरोअः; एना मरङ दुकु चि का?’’"
8702,बच्चों को जंबो की पीठ से उतारा।,होनको जंबोआः देआ ते हाड़ागुनलेना।
62844,अब मेरे कहने या न कहने पर तुमको सब कुछ पता चल गया है।’’।,नामःअइङ कजीरेओ कारेओ सोबेनअःदोम मुनडिकेदा।”
7022,मेरी माँ तो नहीं आई पिताजी?,एंगाञ दोगा काएः हिजुः जाना?
2244,अच्छा इसमें तब तो अच्छी खेती नहीं होती है? अगर होती है तो क्या-क्या?,नेआरे तोबे दो बुगिन चासा क होबाओ तना? जादि होबाओ तना दो चिनअः चिनअः ?
9029,दुश्मन भी गले मिल जाते है।,मुदाइकिनो जोपोआराकिन।
9398,इस घटना से गाँवों में मातम छा गया।,नेआ होबालेनाः ते हातु रे सोबेनको दुकुजाना।
21509,"जैसे कुछ दिन पहले, गुजरात के भावनगर में Drone के जरिए खेतों में नैनो-यूरिया का छिड़काव किया गया। Covid Vaccine अभियान में भी Drones अपनी भूमिका निभा रहे हैं।",चिलकाचि हुड़िङ- दिन सिदा गुजरात राइज रेअ: भावनगर रे Drone रेअ जरीआ ते खेती बाड़ी कोरे नैनो यूरिया रेअ: पेचेका हेरोः ने आत्ति रिकाकाना । Covid vaccine अभियान रेओ Drones रेअ:ते कमिः रिकाएताना ।
40274,अब तक हमने जल दुर्लभता के मात्रात्मक पहलू काही बात की है।,नअः जकेद् अबु दअः दुर्लभता रअः मात्रात्मक पहलू रअः बु जगर कदा।
67889,इसके बाद कहानी सुनाना शुरू की।,"मेद्सोबोः, ‘‘ए’ना, मर; मिद् जुड़िङ का’निअपेअ।’’"
48297,छोटे-छोटे टुकड़ो कर अच्छी तरह लुड़कता था।,हुपुड़ि हुपुड़ि गन्दुइ तेरे माजा गुलि तन केना।
55598,"रसोअल-पता नहीं, किसलिए ऐसा नाम हुआ इसके बारे में कहा नहीं जा सकता है।",रसोअल- इदु‘ड़ो चेनअः मेनते एनका नुतुमजना का कजि दड़िओअ।
83717,"तीर - धनुष, तलवार ,बरछा, गुलेल इत्यादि हथियारों के साथ खाने-पीने का सामान खाना पकाने के बर्तन और कपड़े इत्यादि का जुगाड़ किया था।","आआः-सार, तरउड़ि, बरछा, गुलेल एमन हतेयार लोः जोम नूएआ सामान को, मांडितेआ वर्तन को ओडोः लिजाः किचिर एमन को पुराअः लेका को जोगाड़ अकाद ताइकेना।"
21814,"उसी भाव के साथ, हम सब, अपने नियत कर्तव्यों का पूरी निष्ठा से पालन करें और आज़ादी का ‘अमृत महोत्सव’ का मतलब यही है कि हम नए संकल्प करें।","एना उड़ुः लोः गे, अबु सोबेन, अपनअः जनव रअः कर्तव्य को मजालेका बु मनातिङा ओड़ोः आजादी रअः ‘अमृत महोत्सव’ रअः मतलब गे नेया तना चि अबु नवा संकल्प इदिया।"
85069,"मनीबेड़ा - वे तो पिताजी, सुनदुरा नाम के हैं; उस गाँव की बुढ़िया कुड़ापुरति गाँव से लायी गयी है।","मनिबेड़ा - इनिःदो, अबा, सुनदुरा दङ नुतुमतिअ । एन ओड़अः-रेन बुड़िअदो कुड़ापुरति हतुएतेए अउअकना ।"
5286,आपने कपड़े भी तो वैसे ही चुने हैं।,किचिरि को दाङ एनकानाः गेबेन सालाकादा।
5585,यह ठीक है कि हमने कोई बड़ा राज चलाने का काम नहीं किया है लेकिन इतना तो हम जानते ही हैं कि कैसे हमारे घर-द्वार और गांव- ग्राम का कल्याण होगा।,"नेअः ठाउका गे मापाराङ दिसुम चालाओ रेआः कामि दो जेता इमताङ काले कामिआ कादा, मेनदो ओड़ाः दुआर आ'र हातु-टोला चिलकाते बुगिनोःआ मेनेआः दोले इतुआनगेआ।"
3180,सभी जानते हैं कि सभी एक ही भारत भूमि के हैं।,सोबेन को इतुअनाचि सोबेन मियद् भारत दिसुम रेन कोगे तान बु ।
6961,"छोड़ो, यह मैं नहीं बेचूँगा।",ओचा नेआ दो काञ आकिरिङेआ।
13696,"बस मेरे दिल में आया और मैंने कह दिया था कि अगली 15 अगस्त तक हमारे विद्यालयों में हमारे स्कूलों में लड़के और लड़कियों के लिए अलग शौचालय बना देंगे और बाद में जब हम काम शुरु किया, टीम इंडिया ने अपनी जिम्मेदारी को समझा, ध्यान में आया कि इस देश में 2 लाख 62 हजार विद्यालय ऐसे थे, जिसमें सवा चार लाख से ज्यादा Toilet बनवाने थे।","बस आञअः सुरुद रे हिजु जना ओड़ोः आञ कजि केदा चि हिजु 15 अगस्त जकेद् आबुअ इतुसइ रे आबुअः इसकुल रे कोड़ाको ओड़ोः कुड़िको मेनते एटअः रचा ओड़ाः बइ तअः ओड़ोः तयोमते ओको इमतङ आबु कमि एटेः केदा, भारत रेन इनुङ गोट नेअः अएआ जिमा रे बुझाव जना, धेयान रे हिजुआ चि नेअः दिसुम रे 2 लाख 62 हजार इसकुल नेलेका तइन केना, ओकोनअःरे सवा उपु लाख ते थिमबा रचा ओड़ाः बबइ तइन केना।"
83102,"चपरासी अधिक दूरी पर तो नहीं है, करीब चार कोस पर है।",चपरसि-पुरअः दो का संगिना; मोंड़ें गउदिलेका होबओअ ।
92491,इस पुस्तक में 7 कहानियाँ हैं।,पुथि रे एआ कानि मेना।
68496,"घर पहुंचने के बाद, बुढ़िया हल्दी पीस रही थी और बुढ़ा बैइंठी को खोजकर पत्तों को जमीन पर बिछाया और काटने के लिए बैइंठी से वार करना चाहा तब फिर से लिटा लडका कह रहा था-‘‘दादा जी, धीरे से मुझको काटिए।’’।","ओड़अः तेबअःजनते, बुड़िअदो ससङकोए रिद्तना, अद् हड़मदो वंइंटि नमकेद्ते सकमकोए अटेद्केदा, अद् हद् मेनते बंइंटिए एतेल जदा दो ओड़ोंःगे लिटा कोड़ा मेनजदा, ‘‘मंड़िंते, अजा हदिङमे।’’"
3332,"माँ ने कहा सीनी देखो सुमी के बाल बिल्कुल तुम्हारे बालों जैसे काले, घुँघराले और घने हैं।","एंगाते कजि केदा सीनी लेल लेम, सुमीअ: ऊब दो अमअ: ऊब लेकागे हेनदे, रिटुपिटु ओड़ो इबिल गेआ।"
69270,कुता को तुम किस दिन हमदोनों को जिम्मा करोगे ?’’।,सेता ओको हुलङएम जिमा’लिङआ ?
84391,उसके बाद जयपाल सिंह पटना से राँची आ गए ।,एन तायोमते जयपाल सिंह पटनाआते राँची हिजूः जाना।
73083,"बन्डुआ - यदि पूजा पाठ करना नहीं छोड़ रहे हैं तब, वे लोग किस तरह से धर्म में बदल गये ?","बनडुअ - बोंगा बुरू काको बगेजद्दो, इनकु चिलकाते धरमरेको बद्लनजना ?"
70657,"वहाँ देखता है कि घर के भीतर कोई नहीं है, उसने अपना क्रोध टंगी हुई बिल्ली पर ही उतारा और उसे उठा कर बाहर फेंक दिया और फिर लड़की को भगी हुई जान कर उसके पीछे दौड़ पड़ा।",लेल लेदाएः दो जेताए बङकोवा। नअःदो पुसीगेः कदारवाई तन तइ केना।कजि केदःए चि ने पुसीगे होसोड़ोवा कईंङ मेन्ते खूबे रचअः बड़ा किःया।
45598,इस प्रस्ताव में विभाजन या पाकिस्तान का जिक्र नहीं था।,ने प्रस्ताव रें हनाटिड. चा पाकिस्तान रअः जिक्र का तईकेना।
41991,पूर्वी घाट का विस्तार महानदी घाटी से दक्षिण में नीलगिरी तक है पूर्वी घाट का विस्तार सतत् नहीं है।,सिंगि तुरोः घाट रेअः पिनतराःकन महानदी घटिआते कटाः जमबाड़ा रेअः नीलगिरि सिंगि तुरोः घाट रअः पनासाराव को बनोवाः।
